ID,INTERVIEW_DATE_DD,INTERVIEW_DATE_MM,INTERVIEW_DATE_YYYY,PSU,DISTRICT,LOCATION_TYPE,SUPERVISOR,INTERVIEWER,GPS_LATITUDE,GPS_LONGITUDE,GPS_ACCURACY,INTERVIEWER_VISITS,CUSTOMER_NUMBER,Q1,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q13,Q14_YEARS,Q14_MONTHS,Q15,Q16_INVENTORY,Q16_SALE,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q18,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q20_6,Q20_7,Q21,Q21_1A,Q21_1B,Q21_1C,Q22,Q22_1,Q22_2,Q22_3,Q23_1,Q23_2,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q26,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29_1,Q29_2,Q29_3,Q29_4,Q30,Q31,Q32_1,Q32_1_N,Q32_2,Q32_2_N,Q32_3,Q32_3_N,Q32_4,Q32_4_N,Q32_5,Q32_5_N,Q32_6,Q32_6_N,Q33_1,Q33_2,Q33_3,Q33_4,Q33_5,Q33_6,Q33_7,Q33_8,Q34,Q35,Q36,Q37,Q38,Q39,Q39_PERSONAL_AMOUNT,Q39_BUSINESS_AMOUNT,Q40,Q41_FEATURE_PHONE,Q41_SMART_PHONE,Q41_NO_PHONE,Q42,Q43_FEATURE_PHONE,Q43_SMARTPHONE,Q44_FEATURE_PHONE,Q44_SMARTPHONE,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q46_1,Q46_2,Q46_INTERNET,Q46_WIFI,Q47_1,Q47_2,Q48,Q49,Q50,Q51,Q52,Q53,Q54,Q55_KM,Q55_TIME,Q55_COST,Q56,Q57,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q59_1,Q59_2,Q59_3,Q60_1,Q60_2,Q60_3,Q61,Q62,Q63_1,Q63_2,Q63_3,Q63_4,Q63_5,Q63_6,Q63_7,Q63_8,Q63_9,Q63_10,Q63_11,Q63_98,Q63_99,Q63,Q64,Q65,Q66_1,Q66_2,Q66_3,Q67,Q67_PERCENT,Q68,Q69,Q70_1,Q70_2,Q70_3,Q70_4,Q70_5,Q70_6,Q70_7,Q70_98,Q70_99,Q70,Q71,Q72,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q74,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q76,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q78_5,Q78_6,Q78_7,Q79_1,Q79_2,Q79_3,Q79_4,Q79_5,Q79_6,Q79_7,Q80,Q81_1,Q81_2,Q81_3,Q81_4,Q81_5,Q81_6,Q81_7,Q82_1,Q82_2,Q82_3,Q82_4,Q82_5,Q82_6,DL14,DL15,DL16,DL17,DL18,DL19,DL20,DL21,DL22,DL23
1,10,1,2018,1,Shariatpur,Urban,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,15,Yes,32,Male,Married,Yes,Primary education completed,6,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Cigarette,Chips,Soft drinks/ Beverage,Cake,Tea/Coffee,Yes,11,,Driver,100000,120000,Access to finance,,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,1,0,0,0,0,0,120,40,Technical training (e.g. on the job training),,,,,,Finance,,,,,,"Yes, regularly",41-50%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Write it to my account book daily,Yes,Company distributor,18,Directly from the company/manufacturer,3,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,Everyday,,Everyday,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,Yes,From a Micro-finance institution,50000,300000,Yes,1,1,4,Yes,0,1,,100,Made/receive calls,Send/Receive SMS Text messages,Use Facebook or other social networking site,Use bKash/Rocket and other  mobile money transactions,,,,Weekly internet use,,250,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,Yes,Personal account,In the past 90 days,Over the counter at a bank branch,Make transactions myself,I wanted to start saving money with a bank account,,2,10,20,Yes,Yes,bKash,,,,,Money canbe sent fast,Money remains secured,,Network Problem,Often agentsrun out of cash,It is difficult to use menu,No,In the past 7 days,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Service system downtime,No,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,Suppliers do not always have a mobile money account,,,,,,No,It is convenient,It is possible to pay remote payments through this,,,,,,No,,,,,,,,,,,,,,,,Yes,Micro-credit group,,,,,,,Equal contributions,Husband major/ wife minor,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Two,Yes,No,Three or more,Brick/cement,Yes,Two or more,Two or more,No,No
2,10,1,2018,1,Shariatpur,Urban,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,8,Yes,60,Male,Married,Yes,Secondary education not completed (class 6-9),6,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Poultry,,,,,,,7,Edible oil,Egg,Chips,Soft drinks/ Beverage,Bakery biscuits,Yes,4,,Another micro-merchant business,80000,90000,Access to finance,,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,No,0,1,0,0,0,0,0,80,50,Finance,Marketing,,,,,Finance,Technical training (e.g. on the job training),,,,,"Yes, sometimes",11-20%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Strongly disagree,Strongly agree,Write it to my account book daily,Yes,Company distributor,15,Directly from the company/manufacturer,3,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,Everyday,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,No,,,,No,2,0,4,Yes,1,0,30,,Made/receive calls,,,,,,,Do not use internet,,,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,No,,,,,,"I do not need one, I do not make any transactions",2,10,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,Do not know how to make payment through mobile phone,,,,,,No,It helps the store's marketing or attracts more customers,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,Husband Sole responsibility,Husband major/ wife minor,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband major/ wife minor,None,No members 6-to-12,No,Three or more,Brick/cement,No,Two or more,Two or more,No,No
3,10,1,2018,1,Shariatpur,Urban,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,4,Yes,62,Male,Married,Yes,Primary education completed,3,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Egg,Packet biscuit,Bread,Tea/Coffee,Betel-leaf,Yes,10,,Non-agricultural Wage Labourer,65000,72000,Energy connection,,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,130,70,Finance,,,,,,Finance,Technical training (e.g. on the job training),,,,,"Yes, regularly",21-30%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Write it to my account book daily,Yes,Company distributor,7,Directly from the company/manufacturer,2,,,Large store in nearby haat/ Large store in same/nearby area,1,,,,,Everyday,Everyday,,3 times a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,No,,,,No,1,1,1,Yes,1,0,30,,Made/receive calls,,,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,No,,,,,,"I do not need one, I do not make any transactions",1,7,5,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,Do not know,,,,,,,No,,,,,,,,,,,,,,,,No,,,,,,,,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Equal contributions,Equal contributions,Husband major/ wife minor,None,No members 6-to-12,No,Two,Mud brick or C.I. sheet/wood,No,Two or more,Two or more,No,No
4,10,1,2018,1,Shariatpur,Urban,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,5,Yes,25,Male,Married,Yes,Primary education not completed (up to class 4),3,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Flour,Egg,Bakery biscuits,Air-time/Top-up,Sugar/ Molasses,Yes,0,3,Full time employee,70000,80000,Access to finance,,,,,Single proprietorship,Rent,No,Yes,Yes,No,No,No,No,No,0,0,0,0,0,0,0,75,30,Finance,,,,,,Finance,,,,,,"Yes, sometimes",11-20%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Strongly disagree,Strongly agree,Write it to my account book daily,Yes,Company distributor,15,,,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Everyday,,,Twice a  week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",1-10%,No,,,,No,2,0,1,Yes,1,0,80,,Made/receive calls,Send/Receive SMS Text messages,,,,,,Do not use internet,,,,Phone runs out of battery,Phone not working properly (other than connectivity issues),No,,,,,,"I do not need one, I do not make any transactions",1,10,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,,,,,,,No,It is safer than cash money,It is possible to pay remote payments through this,It offers campaigns and discounts for customers,,,,,Yes,No,,,,,,,,Small business/shop,,,,,,,No,,,,,,,,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Husband Sole responsibility,Equal contributions,Husband major/ wife minor,None,No members 6-to-12,No,Three or more,Mud brick or C.I. sheet/wood,No,Two or more,Two or more,No,Yes
5,10,1,2018,1,Shariatpur,Urban,Md. Sirajul Islam,Rokibul Islam,,,,Visit 1,4,Yes,47,Male,Married,Yes,Primary education not completed (up to class 4),7,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Flour,Cigarette,Egg,Potato,Sugar/ Molasses,Yes,0,5,Another micro-merchant business,85000,90000,Access to finance,,,,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,No,0,0,0,0,0,0,0,85,60,Technical training (e.g. on the job training),,,,,,Finance,,,,,,"Yes, regularly",51-60%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Write it to my account book daily,Yes,Company distributor,3,Directly from the company/manufacturer,1,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Everyday,Everyday,,Twice a  week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",21-30%,No,,,,No,1,1,5,Yes,1,0,60,,Made/receive calls,,,,,,,Do not use internet,,,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,No,,,,,,"I do not need one, I do not make any transactions",1,7,20,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,It's difficult/inconvenient to use,,,,,,,No,It is safer than cash money,It is possible to pay remote payments through this,,,,,,Yes,No,,,,,,,,Don't know how/ where to buy insurance,Small business/shop,,,,,,No,,,,,,,,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Equal contributions,Husband Sole responsibility,Three or more,Yes,No,Two,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,No,No
6,10,1,2018,2,Netrakona,Urban,Md. Anowar Hossain,Sohel Rana,,,,Visit 1,7,Yes,35,Male,Married,Yes,Secondary education not completed (class 6-9),4,1,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Edible oil,Cigarette,Toilet soap,Laundry soap,Packet biscuit,Yes,3,,Full time employee,45000,60000,Tax rates and state fees,Access to finance,"Insufficient knowledge, information, business experience",,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,70,30,Finance,Marketing,Technical training (e.g. on the job training),"Accounting, taxation, bookkeeping",,,Finance,Marketing,Technical training (e.g. on the job training),"Legal support, Issues related registering and licensing of business","Accounting, taxation, bookkeeping",Business plan writing,"Yes, regularly",11-20%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Agree somewhat,Strongly agree,Strongly agree,Strongly agree,Write it to my account book daily,Yes,Company distributor,3,Directly from the company/manufacturer,1,Wholesaler in wholesale market,3,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Twice a  week,3 times a week,Twice a  week,Twice a  week,,,,,Cash,"No, I always pay on time","No, never",0%,No,,,,No,2,0,2,Yes,1,0,200,,Made/receive calls,Send/Receive SMS Text messages,Use bKash/Rocket and other  mobile money transactions,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I wanted to start saving money with a bank account,,0.5,5,0,Yes,Yes,Rocket (DBBL),,,,,Money canbe sent fast,Money can be withdrawn in lesser time,,No Response,,,No,More than 90 days ago,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Service system downtime,No,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is convenient,It is possible to pay remote payments through this,,,,,,Yes,No,,,,,,,,Don't feel the necessity,,,,,,,No,,,,,,,,Husband Sole responsibility,Equal contributions,Equal contributions,Equal contributions,Equal contributions,Husband Sole responsibility,One,Yes,No,Two,Mud brick or C.I. sheet/wood,No,One,Two or more,Yes,Yes
7,10,1,2018,2,Netrakona,Urban,Md. Anowar Hossain,Sohel Rana,,,,Visit 1,5,Yes,40,Male,Married,Yes,Secondary education not completed (class 6-9),5,1,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Dal/Pulses,Edible oil,Cigarette,Packet biscuit,Soft drinks/ Beverage,Yes,25,,Micro-merchant Employee,50000,60000,Tax rates and state fees,Access to finance,"Insufficient knowledge, information, business experience",,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,50,25,Finance,Marketing,Technical training (e.g. on the job training),,,,Finance,Marketing,Technical training (e.g. on the job training),"Legal support, Issues related registering and licensing of business",Business plan writing,,Rarely,1-10%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,I keep my accounts by remembering,No,Company distributor,5,,,,,Large store in nearby haat/ Large store in same/nearby area,3,,,,,Twice a  week,,,Once a week,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, sometimes",11-20%,Yes,From a village Level savings Group,,50000,Yes,1,0,4,Yes,1,0,40,,Made/receive calls,,,,,,,Do not use internet,,,,Ran out of balance (airtime) without using,Network connectivity problem / poor mobile service,No,,,,,,I do not have money/I do not have money to make any transactions with such an account,0.2,4,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is safer than cash money,,,,,,,Yes,No,,,,,,,,Small business/shop,Don't have enough money to pay premium,,,,,,No,,,,,,,,Husband Sole responsibility,Equal contributions,Husband Sole responsibility,Husband major/ wife minor,Husband major/ wife minor,Husband Sole responsibility,Two,Yes,No,Two,Mud brick or C.I. sheet/wood,No,Two or more,One,No,No
8,10,1,2018,2,Netrakona,Urban,Md. Anowar Hossain,Sohel Rana,,,,Visit 2,15,Yes,53,Male,Married,No,Primary education not completed (up to class 4),5,2,Work in your own activity and you are your own boss (Self-employment)/ Business,,,,,,,,7,Rice,Dal/Pulses,Edible oil,Cigarette,Onion/ Ginger/ Garlic,Yes,13,,Another micro-merchant business,240000,270000,Access to finance,"Gender, ethnic and other social norms or psychological issues","Insufficient knowledge, information, business experience",,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,1,1,0,0,0,0,0,100,45,Finance,Marketing,Technical training (e.g. on the job training),,,,Finance,Technical training (e.g. on the job training),Business plan writing,,,,"Yes, regularly",11-20%,Keep it at home/room,Spend it immediately for personal expenses,Reinvest in Business,,,,Strongly agree,Agree somewhat,Agree somewhat,Strongly agree,Keep accounts for credit sale,No,Company distributor,15,,,,,Large store in nearby haat/ Large store in same/nearby area,3,Independent distributor,2,,,Twice a  week,,,Twice a  week,Twice a  week,,,,Cash,"Yes, Often have to ask for more time or for a loan","Yes, frequently",21-30%,Yes,From a Micro-finance institution,,60000,Yes,2,0,3,Yes,2,0,30,,Made/receive calls,Use bKash/Rocket and other  mobile money transactions,,,,,,Do not use internet,,,,Do not face any problems,,No,,,,,,I do not have money/I do not have money to make any transactions with such an account,0.4,5,0,Yes,Yes,Rocket (DBBL),,,,,Money canbe sent fast,Money can be sent anywhere,Money can be sent safely,Money can be sent to wrong number,Network Problem,,No,In the past 7 days,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Service system downtime,No,,,,,,,,,,,,,,,,,,,,No,Do not feel the need,,,,,,,No,It is possible to pay remote payments through this,,,,,,,Yes,No,,,,,,,,Small business/shop,Don't have enough money to pay premium,,,,,,Yes,Micro-credit group,,,,,,,Equal contributions,Equal contributions,Husband major/ wife minor,Husband major/ wife minor,Equal contributions,Husband major/ wife minor,None,No members 6-to-12,No,One,Mud brick or C.I. sheet/wood,Yes,One,Two or more,No,No
9,10,1,2018,2,Netrakona,Urban,Md. Anowar Hossain,Sohel Rana,,,,Visit 2,20,Yes,40,Male,Married,Yes,Secondary education completed,5,2,Work in your own activity and you are your own boss (Self-employment)/ Business,Work for someone else (Wage employment),,,,,,,7,Rice,Dal/Pulses,Edible oil,Cigarette,Egg,Yes,12,,Another micro-merchant business,500000,700000,Access to finance,Monitoring and inspections by regulatory bodies,Poor physical infrastructure,"Insufficient knowledge, information, business experience",,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,2,0,0,0,0,0,0,110,50,Finance,Marketing,Technical training (e.g. on the job training),"Accounting, taxation, bookkeeping",Finding and advise on equipment and technology,,Finance,Marketing,Technical training (e.g. on the job training),"Legal support, Issues related registering and licensing of business","Accounting, taxation, bookkeeping",Finding and advise on equipment and technology,"Yes, regularly",11-20%,Spend it immediately for personal expenses,Reinvest in Business,,,,,Strongly agree,Strongly agree,Agree somewhat,Strongly agree,Write it to my account book daily,No,Company distributor,28,Directly from the company/manufacturer,5,Wholesaler in wholesale market,5,Large store in nearby haat/ Large store in same/nearby area,5,,,,,Everyday,Twice a  week,Once a week,Once in every 2 weeks,,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, frequently",41-50%,No,,,,No,1,0,4,Yes,1,0,200,,Made/receive calls,,,,,,,Do not use internet,,,,Phone runs out of battery,Network connectivity problem / poor mobile service,Yes,Business account,In the past 7 days,Over the counter at a bank branch,Somebody makes them on my behalf,I wanted a safe place to store my money,,0.02,3,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Fee is too high,,,,,,,No,Do not know,,,,,,,Yes,No,,,,,,,,Don't know how/ where to buy insurance,Don't know the benefits of insurance,Don't feel the necessity,,,,,No,,,,,,,,Equal contributions,Equal contributions,Husband major/ wife minor,Equal contributions,Equal contributions,Equal contributions,Three or more,Yes,No,Three or more,Mud brick or C.I. sheet/wood,Yes,Two or more,One,No,Yes
10,10,1,2018,2,Netrakona,Urban,Md. Anowar Hossain,Sohel Rana,,,,Visit 1,10,Yes,41,Male,Married,Yes,Secondary education completed,5,3,Work in your own activity and you are your own boss (Self-employment)/ Business,Agriculture,,,,,,,7,Flour,Edible oil,Toilet soap,Laundry soap,Sugar/ Molasses,Yes,5,,Micro-merchant Employee,90000,120000,Access to finance,Monitoring and inspections by regulatory bodies,"Insufficient knowledge, information, business experience",,,Single proprietorship,Rent,No,No,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,100,50,Finance,Marketing,"Accounting, taxation, bookkeeping",,,,Finance,Marketing,"Legal support, Issues related registering and licensing of business",Business plan writing,,,"Yes, regularly",11-20%,Keep it at store,Spend it immediately for personal expenses,Reinvest in Business,,,,Agree somewhat,Strongly agree,Strongly disagree,Strongly agree,Write it to my account book daily,No,Company distributor,30,,,,,Large store in nearby haat/ Large store in same/nearby area,2,Independent distributor,4,,,Everyday,,,Twice a  week,Twice a  week,,,,Cash,"Yes, Sometimes have to ask for more time or for a loan","Yes, frequently",1-10%,Yes,From a bank,10000,60000,Yes,2,0,3,Yes,2,0,25,,Made/receive calls,,,,,,,Do not use internet,,,,Network connectivity problem / poor mobile service,,Yes,Personal account,More than 90 days ago,Over the counter at a bank branch,Make transactions myself,I had to send money to or receive money from another person,,0.03,2,0,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,No,Do not know,,,,,,,Yes,No,,,,,,,,Don't know how/ where to buy insurance,Don't know the benefits of insurance,Small business/shop,Don't have enough money to pay premium,,,,Yes,Village level association (Informal),Business association,Co-operative,,,,,Husband major/ wife minor,Equal contributions,Equal contributions,Equal contributions,Equal contributions,Husband Sole responsibility,Two,Yes,No,Two,Mud brick or C.I. sheet/wood,Yes,Two or more,Two or more,Yes,Yes
